מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,139054.765,1.0,ריק במקור,139054.765,0.016552108464025685,0.0020379607728718634
162,2102,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,2114074.591,1.0,ריק במקור,2114074.591,0.2516446806499061,0.030983484006341874
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,1648204.317,1.0,ריק במקור,1648204.317,0.19619073554120475,0.024155775918387704
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,AUD,109.606,2.1849,ריק במקור,239.478,2.8505789289190794e-05,3.509745027189885e-06
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,AUD,0.008,2.1849,ריק במקור,0.018,2.1425943393774552e-09,2.638046521576843e-10
162,2102,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,AUD,333.693,2.1849,ריק במקור,729.087,8.678542661742727e-05,1.0685363468204976e-05
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,198.23,2.3745,ריק במקור,470.696,5.602836584264505e-05,6.89843303066741e-06
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,3.305,2.3745,ריק במקור,7.848,9.341711319685706e-07,1.1501882834075036e-07
162,2102,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,345.114,2.3745,ריק במקור,819.473,9.754434505959231e-05,1.201004387320078e-05
162,2102,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,165.993,2.3745,ריק במקור,394.15,4.691686438142356e-05,5.776589091552848e-06
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CHF,0.966,4.1427,ריק במקור,4.003,4.7648917447377525e-07,5.866722347706724e-08
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,DKK,672.221,0.5199,ריק במקור,349.488,4.1600611693352676e-05,5.1220311262935984e-06
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,DKK,2960.438,0.5199,ריק במקור,1539.132,0.00018320752837526122,2.2557232326931166e-05
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,7233.153,3.8807,ריק במקור,28069.699,0.0033412210103016125,0.0004113842878258833
162,2102,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,21.125,3.8807,ריק במקור,81.976,9.75785075360035e-06,1.2014250091821293e-06
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,3891.37,3.8807,ריק במקור,15101.239,0.001797546066610337,0.00022132095008583648
162,2102,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,7.549,3.8807,ריק במקור,29.298,3.4874293863933718e-06,4.2938603882865745e-07
162,2102,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,68.449,4.4409,ריק במקור,303.975,3.6183061906236785e-05,4.455001063312894e-06
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,9338.393,4.4409,ריק במקור,41470.873,0.004936403207713409,0.0006077894014689168
162,2102,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,3.189,4.4409,ריק במקור,14.164,1.685983679052349e-06,2.0758494962008001e-07
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,2255.076,4.4409,ריק במקור,10014.567,0.0011920641425286814,0.00014677163133026798
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,HKD,330.994,0.424832,ריק במקור,140.617,1.6738066012235535e-05,2.0608565984698385e-06
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,ILS,-20209.703,1.0,ריק במקור,-20209.703,-0.002405621958238866,-0.00029618964834028384
162,2102,יובנק,26101,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,18.54,1.0,ריק במקור,18.54,2.2068721695587793e-06,2.717187917224148e-07
162,2102,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,369792.516,1.0,ריק במקור,369792.516,0.044017519529208175,0.005419610336327495
162,2102,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,78206.431,1.0,ריק במקור,78206.431,0.009309147575750753,0.001146178907024941
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,1191800.818,1.0,ריק במקור,1191800.818,0.14186364923956785,0.017466811124096312
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,238758.841,1.0,ריק במקור,238758.841,0.02842018562238455,0.0034992051666431585
162,2102,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,2146.222,0.022332,ריק במקור,47.929,5.705133560667893e-06,7.024385096258695e-07
162,2102,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,60847.567,0.022332,ריק במקור,1358.848,0.00016174777960413205,1.9915023554175833e-05
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,1.952,0.022332,ריק במקור,0.044,5.237452829589335e-09,6.448558163854504e-10
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,1149048.364,0.022332,ריק במקור,25660.548,0.0030544524938957494,0.00037607621885086455
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,NOK,126.217,0.3311,ריק במקור,41.79,4.9743898579213255e-06,6.124664674260904e-07
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,SEK,0.087,0.351,ריק במקור,0.03,3.5709905656290926e-09,4.3967442026280716e-10
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,134676.993,3.306,ריק במקור,445242.138,0.052998515807284215,0.006525385963390759
162,2102,"בנק הפועלים בע""מ",12600,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,-26438.95,3.306,ריק במקור,-87407.169,-0.010404339195578255,-0.0012810232118962736
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,84396.148,3.306,ריק במקור,279013.666,0.03321183896558623,0.0040891723947983506
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,-27257.308,3.306,ריק במקור,-90112.659,-0.010726381837758385,-0.0013206743701388345
162,2102,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,58459.113,3.306,ריק במקור,193265.831,0.023005015305315554,0.002832468073384489
162,2102,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,97767.116,3.306,ריק במקור,323218.085,0.03847362440585674,0.004737024138027658
162,2102,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,-41991.168,3.306,ריק במקור,-138822.803,-0.016524497326906206,-0.002034561180942763
162,2102,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,188543.962,3.306,ריק במקור,623326.338,0.07419641574353769,0.00913535487648962
162,2102,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,-10039.728,3.306,ריק במקור,-33191.342,-0.003950865638085621,-0.00048644613505315206
162,2102,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,בטחונות שוטפים,"חו""ל",לא,A,S&P,CAD,3269.814,2.3745,ריק במקור,7764.174,0.0009241930701300898,0.00011379029007565202
162,2102,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,CAD,10133.779,2.3745,ריק במקור,24062.658,0.002864250823398647,0.00035265784020440663
162,2102,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,EUR,5740.499,3.8807,ריק במקור,22277.156,0.0026517171301682512,0.0003264898549801372
162,2102,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,JPY,12.862,0.022332,ריק במקור,0.287,3.416247641118498e-08,4.206218620514188e-09
162,2102,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,USD,254993.882,3.306,ריק במקור,843009.773,0.10034599820387077,0.01235499444065519
162,2102,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,בטחונות שוטפים,"חו""ל",לא,A,S&P,USD,40571.542,3.306,ריק במקור,134129.516,0.015965841206946548,0.0019657772395810305
162,2102,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,בטחונות שוטפים,"חו""ל",לא,A,S&P,USD,-1548.07,3.306,ריק במקור,-5117.92,-0.0006092014678548149,-7.500728363171421e-05
162,2102,GOLDMAN SACHS,GSILGB2X,SWIFT,בטחונות שוטפים,"חו""ל",לא,BBB+,S&P,USD,-7289.817,3.306,ריק במקור,-24100.134,-0.0028687117048132307,-0.00035320708149019894
162,2102,CITIBANK,CITIUS33,SWIFT,בטחונות שוטפים,"חו""ל",לא,BBB+,S&P,USD,-640.584,3.306,ריק במקור,-2117.772,-0.00025208479440511517,-3.103767254496019e-05
162,2102,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,USD,0.124,3.306,ריק במקור,0.407,4.8446438673701356e-08,5.964916301565417e-09
162,2112,"בנק הפועלים בע""מ",12600,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,5487.816,1.0,ריק במקור,5487.816,0.03290027474269195,0.0021496556008346497
162,2112,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,83432.245,1.0,ריק במקור,83432.245,0.5001887422791848,0.03268159733388632
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,65046.613,1.0,ריק במקור,65046.613,0.3899641385173187,0.02547968371220426
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,AUD,73.249,2.1849,ריק במקור,160.042,0.0009594756402856629,6.269072827310154e-05
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,118.619,2.3745,ריק במקור,281.66,0.0016885936744283365,0.00011033022909862276
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,251.957,3.8807,ריק במקור,977.77,0.00586187686233684,0.00038300641946233176
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,0.009,4.4409,ריק במקור,0.04,2.3980596100665147e-07,1.5668569068894802e-08
162,2112,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,153.365,1.0,ריק במקור,153.365,0.0009194460302446276,6.007525238127628e-05
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,8290.828,1.0,ריק במקור,8290.828,0.04970474940202135,0.0032476352789081735
162,2112,יובנק,26101,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,26.271,1.0,ריק במקור,26.271,0.00015749856004014352,1.0290724450223384e-05
162,2112,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,1810.029,1.0,ריק במקור,1810.029,0.01085139359487271,0.0007090141100800647
162,2112,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,92.452,1.0,ריק במקור,92.452,0.0005542635176746736,3.6214763688936555e-05
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,5196.007,0.022332,ריק במקור,116.037,0.0006956591074332205,4.545334372618365e-05
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,3722.193,3.306,ריק במקור,12305.571,0.07377373198476453,0.004820267228642222
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,-71.989,3.306,ריק במקור,-237.994,-0.0014268094970954254,-9.322563567456373e-05
162,2112,"בנק לאומי לישראל בע""מ",10800,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,-3370.0,3.306,ריק במקור,-11141.22,-0.06679327422216313,-0.0043641743770438035
162,2142,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,699806.7,1.0,ריק במקור,699806.7,0.2912039928031142,0.06134437744469769
162,2142,"בנק הפועלים בע""מ",12600,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,46030.285,1.0,ריק במקור,46030.285,0.019154150398767684,0.0040349701952367804
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,545593.057,1.0,ריק במקור,545593.057,0.22703251718518427,0.0478261588804658
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,AUD,32.793,2.1849,ריק במקור,71.65,2.981504190277563e-05,6.280769595250503e-06
162,2142,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,AUD,99.85,2.1849,ריק במקור,218.162,9.078170511644574e-05,1.912386959440391e-05
162,2142,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,49.669,2.3745,ריק במקור,117.94,4.9077265066480915e-05,1.0338506155810805e-05
162,2142,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,103.243,2.3745,ריק במקור,245.152,0.00010201280045428124,2.148978685017238e-05
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,52.001,2.3745,ריק במקור,123.476,5.138090877860605e-05,1.0823786553288919e-05
162,2142,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,0.976,2.3745,ריק במקור,2.316,9.637353391043733e-07,2.030183165750197e-07
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CHF,0.334,4.1427,ריק במקור,1.385,5.763270486440229e-07,1.2140775840086456e-07
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,DKK,201.147,0.5199,ריק במקור,104.576,4.3516229197832013e-05,9.167030861031633e-06
162,2142,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,0.544,3.8807,ריק במקור,2.111,8.784306134928034e-07,1.8504821515106506e-07
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,702.506,3.8807,ריק במקור,2726.214,0.00113443384013864,0.00023897727845563507
162,2142,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,6.023,3.8807,ריק במקור,23.374,9.726403202169958e-06,2.0489421984561793e-06
162,2142,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,0.006,3.8807,ריק במקור,0.022,9.154653480266068e-09,1.9284986894000147e-09
162,2142,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,14.935,4.4409,ריק במקור,66.325,2.7599199639938503e-05,5.813985253384363e-06
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,283.541,4.4409,ריק במקור,1259.175,0.0005239686725460921,0.00011037806078296652
162,2142,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,0.002,4.4409,ריק במקור,0.008,3.3289649019149342e-09,7.012722506909145e-10
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,HKD,99.042,0.424832,ריק במקור,42.076,1.7508690901621595e-05,3.6883414025088643e-06
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,250552.969,1.0,ריק במקור,250552.969,0.10426025498394757,0.021963230560990116
162,2142,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,16922.164,1.0,ריק במקור,16922.164,0.007041661252556054,0.001483380504355096
162,2142,יובנק,26101,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,8.312,1.0,ריק במקור,8.312,3.4587945330896163e-06,7.2862186846786e-07
162,2142,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,99781.671,1.0,ריק במקור,99781.671,0.0415212100766779,0.008746764624983793
162,2142,"בנק הפועלים בע""מ",12600,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,ILS,-4410.152,1.0,ריק במקור,-4410.152,-0.0018351551525137438,-0.0003865896523661297
162,2142,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,40359.787,1.0,ריק במקור,40359.787,0.016794539296470328,0.0035378998333619885
162,2142,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,18207.116,0.022332,ריק במקור,406.601,0.00016919505726043928,3.5642249800397065e-05
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,343826.005,0.022332,ריק במקור,7678.322,0.00319510805545016,0.0006730742688086954
162,2142,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,0.584,0.022332,ריק במקור,0.013,5.409567965611767e-09,1.1395674073727359e-09
162,2142,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,642.207,0.022332,ריק במקור,14.342,5.968001827907998e-06,1.2572058274261368e-06
162,2142,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,26968.69,3.306,ריק במקור,89158.49,0.037100685489716706,0.007815546868812924
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,47598.278,3.306,ריק במקור,157359.906,0.06548070050532916,0.01379401693114134
162,2142,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,16451.247,3.306,ריק במקור,54387.824,0.02263189464844084,0.004767583968332666
162,2142,"בנק הפועלים בע""מ",12600,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,-7062.41,3.306,ריק במקור,-23348.327,-0.009715720137679101,-0.002046691728144681
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,23333.985,3.306,ריק במקור,77142.153,0.032100439974393984,0.00676220640718161
162,2142,"בנק דיסקונט לישראל בע""מ",11010,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,-9073.038,3.306,ריק במקור,-29995.465,-0.01248173127520223,-0.002629373406383819
162,2142,"בנק הפועלים בע""מ",12600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,25421.433,3.306,ריק במקור,84043.255,0.034972130767210854,0.007367150323655056
162,2142,"בנק לאומי לישראל בע""מ",10800,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,-2055.312,3.306,ריק במקור,-6794.861,-0.002827481722798826,-0.0005956309333252397
162,2142,"בנק מזרחי טפחות בע""מ",20461,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,-2313.465,3.306,ריק במקור,-7648.316,-0.0031826219403443025,-0.0006704439719144165
162,2142,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,CAD,3032.298,2.3745,ריק במקור,7200.191,0.002996147890760474,0.0006311617684968083
162,2142,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,בטחונות שוטפים,"חו""ל",לא,A,S&P,CAD,978.416,2.3745,ריק במקור,2323.248,0.0009667513813055084,0.0002036536692341457
162,2142,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,EUR,1717.711,3.8807,ריק במקור,6665.921,0.0027738271309922127,0.0005843281778247289
162,2142,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,JPY,3.849,0.022332,ריק במקור,0.086,3.578637269558554e-08,7.53867669492733e-09
162,2142,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,USD,76300.99,3.306,ריק במקור,252251.073,0.10496687106092274,0.02211208471273852
162,2142,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,בטחונות שוטפים,"חו""ל",לא,A,S&P,USD,12140.09,3.306,ריק במקור,40135.139,0.016701058633059658,0.0035182074072903375
162,2142,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,בטחונות שוטפים,"חו""ל",לא,A,S&P,USD,-46.353,3.306,ריק במקור,-153.242,-6.376715493740603e-05,-1.3433045280047137e-05
162,2142,GOLDMAN SACHS,GSILGB2X,SWIFT,בטחונות שוטפים,"חו""ל",לא,BBB+,S&P,USD,-2024.228,3.306,ריק במקור,-6692.097,-0.002784719504151278,-0.0005866227406289895
162,2142,CITIBANK,CITIUS33,SWIFT,בטחונות שוטפים,"חו""ל",לא,BBB+,S&P,USD,-191.68,3.306,ריק במקור,-633.694,-0.00026369313556926026,-5.5549002203666035e-05
162,2142,JPMORGAN CHASE BANK,JPMSGB2L,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,USD,0.024,3.306,ריק במקור,0.081,3.370576963188871e-08,7.100381538245509e-09
