מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14043,"או.פי.סי אנרגיה בע""מ",514401702,ח.פ.,או.פי.סי  אגח ג,IL0011803553,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilA+,מעלות S&P,נייר ערך,ILS,2.803,31/08/2030,0.025,0.04969,החוב לא נחות,לא,33649.09,1.0,93.71,0.0,31.533,,,שווי הוגן,5e-05,0.01271,0.00176
14036,14043,אזורים-חברה להשקעות בפתוח ובבנין בעמ,520025990,ח.פ.,אזורים אג14,IL0071504448,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,A1.il,מידרוג Moodys,נייר ערך,ILS,1.699,31/12/2028,0.0255,0.05118,החוב לא נחות,לא,67951.2,1.0,96.49,0.0,65.566,,,שווי הוגן,0.0001,0.02643,0.00367
14036,14043,איי.די.איי הנפקות (2010) בעמ,514486042,ח.פ.,איידיאייהנ הת ו,IL0011830374,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,לא,A2.il,מידרוג Moodys,נייר ערך,ILS,3.124,15/12/2031,0.0218,0.04535,החוב לא נחות,לא,65411.0,1.0,93.75,0.0,61.323,,,שווי הוגן,0.0004,0.02472,0.00343
14036,14043,אלון רבוע כחול ישראל בעמ,520042847,ח.פ.,אלון רבוע אגח ו,IL0011691271,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilAA-,מעלות S&P,נייר ערך,ILS,0.99,30/09/2026,0.039,0.05041,החוב לא נחות,לא,4687.5,1.0,98.96,0.0,4.639,,,שווי הוגן,2e-05,0.00187,0.00026
14036,14043,אלון רבוע כחול ישראל בעמ,520042847,ח.פ.,אלון רבוע אגח ז,IL0011839797,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilAA-,מעלות S&P,נייר ערך,ILS,2.312,30/06/2029,0.001,0.03006,החוב לא נחות,לא,115750.0,1.0,108.09,0.0,125.114,,,שווי הוגן,0.00022,0.05043,0.007
14036,14043,אלקו בעמ,520025370,ח.פ.,אלקו     אגח יג,IL0069402332,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilAA-,מעלות S&P,נייר ערך,ILS,2.363,15/09/2029,0.0204,0.04863,החוב לא נחות,לא,2598.76,1.0,93.81,0.0,2.438,,,שווי הוגן,1e-05,0.00098,0.00014
14036,14043,אלרוב נדלן ומלונאות בעמ,520038894,ח.פ.,אלרוב נדלן אגחה,IL0038701699,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilAA-,מעלות S&P,נייר ערך,ILS,1.225,31/12/2027,0.015,0.03279,החוב לא נחות,לא,6483.33,1.0,115.41,0.0,7.482,,,שווי הוגן,2e-05,0.00302,0.00042
14036,14043,אמות השקעות בעמ,520026683,ח.פ.,אמות      אגח ז,IL0011628661,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,4.422,5/01/2032,0.0244,0.04682,החוב לא נחות,לא,115999.0,1.0,92.45,0.0,107.241,,,שווי הוגן,0.0001,0.04322,0.006
14036,14043,אשטרום נכסים בעמ,520036617,ח.פ.,אשטרום נכ אג10,IL0025102042,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilA,מעלות S&P,נייר ערך,ILS,0.981,1/01/2028,0.0346,0.03363,החוב לא נחות,לא,7284.0,1.0,120.85,0.0,8.803,,,שווי הוגן,3e-05,0.00355,0.00049
14036,14043,קבוצת אשטרום בעמ,510381601,ח.פ.,אשטרום קב אגח ד,IL0011829897,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,ilA,מעלות S&P,נייר ערך,ILS,2.561,31/12/2029,0.0075,0.03015,החוב לא נחות,לא,147153.32,1.0,109.6,0.0,161.28,,,שווי הוגן,0.0001,0.065,0.00903
14036,14043,קבוצת אשטרום בעמ,510381601,ח.פ.,אשטרום קבוצה אג3,IL0011401028,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,ilA,מעלות S&P,נייר ערך,ILS,1.704,15/01/2029,0.043,0.05051,החוב לא נחות,לא,1956.76,1.0,99.73,0.0,1.951,,,שווי הוגן,2.77e-06,0.00079,0.00011
14036,14043,בתי זקוק לנפט בעמ,520036658,ח.פ.,בזן אג10,IL0025905113,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilA+,מעלות S&P,נייר ערך,ILS,2.227,25/09/2031,0.027,0.04987,החוב לא נחות,לא,11454.56,1.0,95.21,0.0,10.906,,,שווי הוגן,2e-05,0.0044,0.00061
14036,14043,בתי זקוק לנפט בעמ,520036658,ח.פ.,בזן אגח יב,IL0025905782,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilA+,מעלות S&P,נייר ערך,ILS,2.466,25/09/2029,0.05,0.05149,החוב לא נחות,לא,24944.22,1.0,99.87,0.0,24.912,,,שווי הוגן,3e-05,0.01004,0.00139
14036,14043,בזק החברה הישראלית לתקשורת בעמ,520031931,ח.פ.,בזק      אגח 11,IL0023002343,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ilAA,מעלות S&P,נייר ערך,ILS,2.498,1/06/2030,0.032,0.04564,החוב לא נחות,לא,70600.0,1.0,97.84,0.0,69.075,,,שווי הוגן,5e-05,0.02784,0.00387
14036,14043,ביג מרכזי קניות בעמ,513623314,ח.פ.,ביג      אגח יד,IL0011615122,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,0.167,30/11/2025,0.002,0.04635,החוב לא נחות,לא,6000.48,1.0,116.69,0.0,7.002,,,שווי הוגן,2e-05,0.00282,0.00039
14036,14043,ביג מרכזי קניות בעמ,513623314,ח.פ.,ביג אג9,IL0011410508,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA-,מעלות S&P,נייר ערך,ILS,0.711,20/12/2026,0.0195,0.0414,החוב לא נחות,לא,4000.56,1.0,118.54,0.0,4.742,,,שווי הוגן,1e-05,0.00191,0.00027
14036,14043,חברת גב-ים לקרקעות בעמ,520001736,ח.פ.,גב ים אג6,IL0075901285,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,0.499,31/03/2026,0.0475,0.05035,החוב לא נחות,לא,4335.84,1.0,143.8,0.0,6.235,,,שווי הוגן,1e-05,0.00251,0.00035
14036,14043,חברת גב-ים לקרקעות בעמ,520001736,ח.פ.,גב ים אג8,IL0075901517,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,4.556,30/06/2034,0.0255,0.04916,החוב לא נחות,לא,130626.23,1.0,90.63,0.0,118.387,,,שווי הוגן,5e-05,0.04771,0.00663
14036,14043,הפניקס פיננסים בעמ,520017450,ח.פ.,הפניקס    אגח 5,IL0076702849,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,לא,ilAA,מעלות S&P,נייר ערך,ILS,3.558,1/05/2030,0.0044,0.02683,החוב לא נחות,לא,112476.66,1.0,109.63,0.0,123.308,,,שווי הוגן,0.0001,0.0497,0.0069
14036,14043,הראל ביטוח מימון והנפקות בעמ,513834200,ח.פ.,הראל הנ אג15,IL0011431306,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,לא,ilAA-,מעלות S&P,נייר ערך,ILS,5.666,31/12/2034,0.0305,0.04637,החוב לא נחות,לא,110852.0,1.0,92.49,0.0,102.527,,,שווי הוגן,0.00016,0.04132,0.00574
14036,14043,הראל ביטוח מימון והנפקות בעמ,513834200,ח.פ.,הראל הנפ אגח טז,IL0011576019,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,לא,ilAA-,מעלות S&P,נייר ערך,ILS,0.741,30/06/2029,0.0291,0.0471,החוב לא נחות,לא,28224.0,1.0,99.46,0.0,28.072,,,שווי הוגן,9e-05,0.01131,0.00157
14036,14043,חברת החשמל לישראל בעמ,520000472,ח.פ.,חשמל אג33,IL0060003923,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilAAA,מעלות S&P,נייר ערך,ILS,9.944,30/05/2036,0.0125,0.02783,החוב לא נחות,לא,77414.0,1.0,101.02,0.0,78.204,,,שווי הוגן,2e-05,0.03152,0.00438
14036,14043,בנק לאומי לישראל בעמ,520018078,ח.פ.,לאומי אג179,IL0060403727,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,ilAAA,מעלות S&P,נייר ערך,ILS,0.748,30/06/2026,0.0083,0.03204,החוב לא נחות,לא,8423.5,1.0,116.83,0.0,9.841,,,שווי הוגן,1e-05,0.00397,0.00055
14036,14043,בנק לאומי לישראל בעמ,520018078,ח.פ.,לאומי אגח 184,IL0060406043,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,ilAAA,מעלות S&P,נייר ערך,ILS,2.206,5/05/2030,0.0276,0.04448,החוב לא נחות,לא,128632.0,1.0,97.55,0.0,125.481,,,שווי הוגן,6e-05,0.05057,0.00702
14036,14043,מגדלי הים התיכון,512719485,ח.פ.,מגדלי תיכוןאגחז,IL0012176942,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,A2.il,מידרוג Moodys,נייר ערך,ILS,6.309,30/06/2035,0.0529,0.05096,החוב לא נחות,לא,137000.0,1.0,102.93,0.0,141.014,,,שווי הוגן,0.00025,0.05683,0.00789
14036,14043,מגוריט ישראל בעמ,515434074,ח.פ.,מגוריט    אגח ד,IL0011858342,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilA-,מעלות S&P,נייר ערך,ILS,1.496,31/03/2027,0.003,0.03329,החוב לא נחות,לא,10337.0,1.0,109.52,0.0,11.321,,,שווי הוגן,2e-05,0.00456,0.00063
14036,14043,מזרחי טפחות חברה להנפקות בעמ,520032046,ח.פ.,מז טפ הנפ אגח61,IL0023104644,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,Aaa.il,מידרוג Moodys,נייר ערך,ILS,1.173,4/12/2026,0.005,0.02894,החוב לא נחות,לא,26407.0,1.0,114.73,0.0,30.297,,,שווי הוגן,3e-05,0.01221,0.0017
14036,14043,"מימון ישיר מקבוצת ישיר (2006) בע""מ",513893123,ח.פ.,מימון ישיר אגחד,IL0011756603,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים פיננסיים,לא,A1.il,מידרוג Moodys,נייר ערך,ILS,0.34,31/01/2026,0.01,0.05543,החוב לא נחות,לא,666.4,1.0,115.9,0.0,0.772,,,שווי הוגן,2e-05,0.00031,4e-05
14036,14043,מליסרון בעמ,520037789,ח.פ.,מליסרון  אג16,IL0032302650,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,1.466,1/04/2027,0.0235,0.02981,החוב לא נחות,לא,25389.14,1.0,119.0,0.73,30.947,,,שווי הוגן,3e-05,0.01247,0.00173
14036,14043,מליסרון בעמ,520037789,ח.פ.,מליסרון  אגח יח,IL0032303724,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,2.643,1/07/2028,0.0065,0.02748,החוב לא נחות,לא,12816.41,1.0,112.29,0.0,14.392,,,שווי הוגן,2e-05,0.0058,0.00081
14036,14043,מליסרון בעמ,520037789,ח.פ.,מליסרון אג14,IL0032302320,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,0.561,27/04/2026,0.0215,0.0489,החוב לא נחות,לא,9010.8,1.0,120.11,0.0,10.823,,,שווי הוגן,2e-05,0.00436,0.00061
14036,14043,חברה לנכסים ולבנין בעמ,520025438,ח.פ.,נכסים ובנין אג9,IL0069902125,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilA,מעלות S&P,נייר ערך,ILS,2.117,30/06/2029,0.0395,0.05141,החוב לא נחות,לא,3122.44,1.0,98.65,0.0,3.08,,,שווי הוגן,2.63e-06,0.00124,0.00017
14036,14043,"חברת נמלי ישראל-פיתוח נכסים בע""מ",513569780,ח.פ.,נמלי ישראל אג1,IL0011455644,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAAA,מעלות S&P,נייר ערך,ILS,0.762,31/12/2026,0.0083,0.03813,החוב לא נחות,לא,22338.71,1.0,117.3,0.0,26.203,,,שווי הוגן,5e-05,0.01056,0.00147
14036,14043,נתיבי הגז הטבעי לישראל בעמ,513436394,ח.פ.,נתיבי גז אג4,IL0011475030,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים,לא,ilAAA,מעלות S&P,נייר ערך,ILS,4.794,30/06/2033,0.0265,0.02508,החוב לא נחות,לא,100253.22,1.0,121.01,0.0,121.316,,,שווי הוגן,7e-05,0.0489,0.00679
14036,14043,סאמיט אחזקות נדלן בעמ,520043720,ח.פ.,סאמיט אג 10,IL0011433955,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,Aa2.il,מידרוג Moodys,נייר ערך,ILS,3.501,31/01/2030,0.0369,0.04895,החוב לא נחות,לא,102717.13,1.0,96.71,0.0,99.338,,,שווי הוגן,0.00041,0.04004,0.00556
14036,14043,סלקום ישראל בעמ,511930125,ח.פ.,סלקום אג12,IL0011430803,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ilAA-,מעלות S&P,נייר ערך,ILS,1.308,5/01/2028,0.025,0.04729,החוב לא נחות,לא,1.57,1.0,98.99,0.0,0.002,,,שווי הוגן,0.0,0.0,0.0
14036,14043,קבוצת עזריאלי בעמ,510960719,ח.פ.,עזריאלי אגח ה,IL0011566036,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa1.il,מידרוג Moodys,נייר ערך,ILS,1.709,30/06/2028,0.0177,0.02902,החוב לא נחות,לא,19803.69,1.0,116.94,0.0,23.158,,,שווי הוגן,1e-05,0.00933,0.0013
14036,14043,עמרם אברהם חברה לבנין בעמ,513201582,ח.פ.,עמרם אברהם אגחא,IL0011880445,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,A3.il,מידרוג Moodys,נייר ערך,ILS,1.138,31/05/2027,0.06,0.05386,החוב לא נחות,לא,1773.3,1.0,102.77,0.0,1.822,,,שווי הוגן,1e-05,0.00073,0.0001
14036,14043,בנק הפועלים בעמ,520000118,ח.פ.,פועלים  אגח 203,IL0011998684,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,ilAAA,מעלות S&P,נייר ערך,ILS,2.553,2/12/2030,0.0175,0.02571,החוב לא נחות,לא,21831.35,1.0,117.2,0.0,25.586,,,שווי הוגן,1e-05,0.01031,0.00143
14036,14043,חברת פרטנר תקשורת בעמ,520044314,ח.פ.,פרטנר אגח ז,IL0011563975,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ilAA-,מעלות S&P,נייר ערך,ILS,1.374,25/06/2027,0.04,0.04677,החוב לא נחות,לא,9648.75,1.0,100.15,0.0,9.663,,,שווי הוגן,2e-05,0.00389,0.00054
14036,14043,פרשקובסקי השקעות ובניין בעמ,513817817,ח.פ.,פרשקובסקי אגחיד,IL0011836231,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,A2.il,מידרוג Moodys,נייר ערך,ILS,0.745,31/12/2026,0.02,0.04722,החוב לא נחות,לא,8947.18,1.0,98.54,0.0,8.817,,,שווי הוגן,4e-05,0.00355,0.00049
14036,14043,פתאל החזקות (1998) בעמ,512607888,ח.פ.,פתאל החז  אגח ד,IL0011881922,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,מלונאות ותיירות,לא,A2.il,מידרוג Moodys,נייר ערך,ILS,3.151,31/12/2032,0.0325,0.03258,החוב לא נחות,לא,117646.27,1.0,112.88,0.0,132.799,,,שווי הוגן,0.00032,0.05352,0.00743
14036,14043,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינפרא אגחא,IL0011821878,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilA+,מעלות S&P,נייר ערך,ILS,3.42,31/12/2031,0.0075,0.03069,החוב לא נחות,לא,9492.0,1.0,107.17,0.0,10.173,,,שווי הוגן,2e-05,0.0041,0.00057
14036,14043,רבוע כחול נדלן בעמ,513765859,ח.פ.,רבוע נדלן אג9,IL0011745564,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA-,מעלות S&P,נייר ערך,ILS,5.398,30/06/2035,0.0115,0.03074,החוב לא נחות,לא,109945.0,1.0,107.25,0.0,117.916,,,שווי הוגן,7e-05,0.04752,0.0066
14036,14043,רני צים מרכזי קניות בעמ,514353671,ח.פ.,רני צים אגח ג,IL0011831935,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilBBB+,מעלות S&P,נייר ערך,ILS,2.842,1/07/2029,0.0094,0.03804,החוב לא נחות,לא,4294.2,1.0,107.19,0.0,4.603,,,שווי הוגן,1e-05,0.00186,0.00026
14036,14043,שופרסל בעמ,520022732,ח.פ.,שופרסל אג7,IL0077702582,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,מסחר,לא,ilAA,מעלות S&P,נייר ערך,ILS,2.707,20/08/2030,0.0352,0.04558,החוב לא נחות,לא,73162.85,1.0,97.78,0.0,71.539,,,שווי הוגן,0.0001,0.02883,0.004
14036,14043,שטראוס גרופ בעמ,520003781,ח.פ.,שטראוס    אגח ו,IL0074604211,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,מזון,לא,ilAA+,מעלות S&P,נייר ערך,ILS,5.81,30/06/2037,0.019,0.04576,החוב לא נחות,לא,139842.11,1.0,86.15,0.0,120.474,,,שווי הוגן,9e-05,0.04856,0.00674
14036,14043,שיכון ובינוי בעמ,520036104,ח.פ.,שיכון ובינוי אג9,IL0011673865,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,ilA,מעלות S&P,נייר ערך,ILS,3.558,31/03/2031,0.0325,0.0318,החוב לא נחות,לא,150266.51,1.0,119.15,0.0,179.043,,,שווי הוגן,0.00044,0.07216,0.01002
14036,14037,אדגר השקעות ופיתוח בעמ,520035171,ח.פ.,אדגר אג10,IL0018202080,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,A2.il,מידרוג Moodys,נייר ערך,ILS,1.396,1/09/2027,0.0285,0.03041,החוב לא נחות,לא,35895.6,1.0,120.05,0.0,43.093,,,שווי הוגן,0.00013,0.00179,9e-05
14036,14037,"או.פי.סי אנרגיה בע""מ",514401702,ח.פ.,או פי סי  אגח ב,IL0011660573,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilA+,מעלות S&P,נייר ערך,ILS,2.411,30/09/2030,0.0275,0.03007,החוב לא נחות,לא,138001.57,1.0,117.38,0.0,161.986,,,שווי הוגן,0.00031,0.00674,0.00032
14036,14037,"או.פי.סי אנרגיה בע""מ",514401702,ח.פ.,או.פי.סי  אגח ג,IL0011803553,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilA+,מעלות S&P,נייר ערך,ILS,2.803,31/08/2030,0.025,0.04969,החוב לא נחות,לא,68259.36,1.0,93.71,0.0,63.966,,,שווי הוגן,0.0001,0.00266,0.00013
14036,14037,אזורים-חברה להשקעות בפתוח ובבנין בעמ,520025990,ח.פ.,אזורים אג14,IL0071504448,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,A1.il,מידרוג Moodys,נייר ערך,ILS,1.699,31/12/2028,0.0255,0.05118,החוב לא נחות,לא,148251.05,1.0,96.49,0.0,143.047,,,שווי הוגן,0.00023,0.00595,0.00028
14036,14037,איי.סי.אל גרופ בעמ,520027830,ח.פ.,איי.סי.אל אג7,IL0028103724,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,ilAA,מעלות S&P,נייר ערך,ILS,7.083,30/12/2034,0.024,0.04655,החוב לא נחות,לא,1396713.33,1.0,86.13,0.0,1202.989,,,שווי הוגן,0.00089,0.05004,0.00239
14036,14037,איי.די.איי הנפקות (2010) בעמ,514486042,ח.פ.,איידיאייהנ הת ו,IL0011830374,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,לא,A2.il,מידרוג Moodys,נייר ערך,ILS,3.124,15/12/2031,0.0218,0.04535,החוב לא נחות,לא,10000.0,1.0,93.75,0.0,9.375,,,שווי הוגן,6e-05,0.00039,2e-05
14036,14037,אלקו בעמ,520025370,ח.פ.,אלקו     אגח יג,IL0069402332,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilAA-,מעלות S&P,נייר ערך,ILS,2.363,15/09/2029,0.0204,0.04863,החוב לא נחות,לא,27052.1,1.0,93.81,0.0,25.378,,,שווי הוגן,9e-05,0.00106,5e-05
14036,14037,אלרוב נדלן ומלונאות בעמ,520038894,ח.פ.,אלרוב נדלן אגחה,IL0038701699,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilAA-,מעלות S&P,נייר ערך,ILS,1.225,31/12/2027,0.015,0.03279,החוב לא נחות,לא,71746.66,1.0,115.41,0.0,82.803,,,שווי הוגן,0.00025,0.00344,0.00016
14036,14037,אמות השקעות בעמ,520026683,ח.פ.,אמות      אגח ז,IL0011628661,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,4.422,5/01/2032,0.0244,0.04682,החוב לא נחות,לא,1417464.0,1.0,92.45,0.0,1310.445,,,שווי הוגן,0.00117,0.0545,0.0026
14036,14037,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ אגח ח,IL0031303907,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilA-,מעלות S&P,נייר ערך,ILS,2.19,31/12/2029,0.0175,0.0367,החוב לא נחות,לא,19426.62,1.0,114.46,0.0,22.236,,,שווי הוגן,4e-05,0.00092,4e-05
14036,14037,אפי נכסים בעמ,510560188,ח.פ.,אפי נכסים אגחיב,IL0011737645,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilA+,מעלות S&P,נייר ערך,ILS,1.833,15/09/2027,0.023,0.05004,החוב לא נחות,לא,89909.6,1.0,95.44,0.0,85.81,,,שווי הוגן,0.00013,0.00357,0.00017
14036,14037,קבוצת אשטרום בעמ,510381601,ח.פ.,אשטרום קב אגח ד,IL0011829897,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,ilA,מעלות S&P,נייר ערך,ILS,2.561,31/12/2029,0.0075,0.03015,החוב לא נחות,לא,9887.32,1.0,109.6,0.0,10.836,,,שווי הוגן,1e-05,0.00045,2e-05
14036,14037,קבוצת אשטרום בעמ,510381601,ח.פ.,אשטרום קבוצה אג3,IL0011401028,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,ilA,מעלות S&P,נייר ערך,ILS,1.704,15/01/2029,0.043,0.05051,החוב לא נחות,לא,431908.63,1.0,99.73,0.0,430.742,,,שווי הוגן,0.00061,0.01792,0.00085
14036,14037,בתי זקוק לנפט בעמ,520036658,ח.פ.,בזן אג10,IL0025905113,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilA+,מעלות S&P,נייר ערך,ILS,2.227,25/09/2031,0.027,0.04987,החוב לא נחות,לא,145399.36,1.0,95.21,0.0,138.435,,,שווי הוגן,0.00031,0.00576,0.00027
14036,14037,בתי זקוק לנפט בעמ,520036658,ח.פ.,בזן אגח יב,IL0025905782,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilA+,מעלות S&P,נייר ערך,ILS,2.466,25/09/2029,0.05,0.05149,החוב לא נחות,לא,27402.64,1.0,99.87,0.0,27.367,,,שווי הוגן,3e-05,0.00114,5e-05
14036,14037,בזק החברה הישראלית לתקשורת בעמ,520031931,ח.פ.,בזק      אגח 11,IL0023002343,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ilAA,מעלות S&P,נייר ערך,ILS,2.498,1/06/2030,0.032,0.04564,החוב לא נחות,לא,494100.0,1.0,97.84,0.0,483.427,,,שווי הוגן,0.00035,0.02011,0.00096
